Date,Canton,Longitude,Latitude,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
24.01.13,GR,9.626730602923798,46.709037808680904,Alvaneu,2250,E,1,2,1,1,1
29.01.13,FR,6.9967355607362665,46.53598259893338,Semsales,1750,,1,-3,1,1,1
03.02.13,VS,7.645814729878642,46.24105554949434,Anniviers,2890,SW,1,3,1,1,1
12.02.13,VS,7.582309636228713,46.151288273990275,Anniviers,2600,W,2,2,1,1,1
13.02.13,VS,7.289318936890158,46.13328987944815,Isérables,2470,W,2,2,1,,1
13.02.13,VS,7.314883325438036,46.089170855360045,Nendaz,3150,SSW,2,2,6,4,2
16.02.13,VS,7.647999695431565,46.20237043277373,Anniviers,2720,S,1,2,2,2,1
16.02.13,VS,7.103675267891094,46.022246557352325,Orsières,2160,NNE,1,2,1,1,1
04.03.13,GR,8.695444295519177,46.65450071810917,Tavetsch/Tujetsch,1890,SE,1,1↗︎2,1,1,1
19.03.13,VS,6.9635918653807645,46.03738635305847,Trient,2065,N,2,3,1,1,1
21.03.13,GR,8.7738677232889,46.719105657658275,Disentis/Mustér,2820,SSE,2,2,5,2,1
29.03.13,GR,10.143617113233141,46.40047295057013,Poschiavo,2370,W,1,-2,5,4,2
12.04.13,VS,8.079734058193987,46.5147934120954,Fieschertal,3320,S,1,3,13,7,1
13.04.13,VS,7.672586829132284,45.981383485562404,Zermatt,3380,SE,1,2↗︎3,3,,1
14.04.13,VS,8.018242663137778,46.540401868840014,Fieschertal,3730,S,1,3↗︎4,2,1,1
26.12.13,UR,8.493781729616932,46.57764798002634,Realp,1720,N,1,3,1,1,1
27.12.13,GR,9.788215196869473,46.505898409024155,St. Moritz,3010,SE,2,3,1,1,1
29.12.13,VD,7.175242908289669,46.284207660633164,Bex,2050,NNW,1,-3,1,1,1
29.12.13,VS,7.099268508258005,45.90832437746971,Orsières,2072,NE,1,3,1,1,1
30.12.13,GR,9.76599176354608,46.68199074460162,Davos,2590,ENE,1,3,2,1,1
30.12.13,VS,7.484770209630552,46.00117301752064,Evolène,2390,NNE,1,3,1,1,1
30.12.13,VS,7.081279980692653,46.01101435127359,Orsières,2640,N,1,3,1,1,1
05.01.14,VS,7.491739610332069,46.186449782442814,Mont-Noble,2680,WNW,1,3,6,4,4
05.01.14,VS,7.277739224105719,46.163714888576656,Nendaz,2025,NNW,2,3,1,,1
09.02.14,VS,7.031563892355134,46.04719662358726,Martigny-Combe,2330,NNE,1,-3,6,2,1
17.02.14,VS,7.314119239478583,46.1124233724557,Nendaz,2210,NE,2,3,1,1,1
18.02.14,VS,7.591226311002312,46.13691070530684,Anniviers,2785,NNE,2,3,1,1,1
17.03.14,VS,7.7130164156932794,46.05929183662101,Täsch,3570,NE,2,1↗︎3,3,2,2
19.07.14,VS,7.585078194539532,46.07362647963965,Anniviers,3460,N,1,-,6,4,2
19.07.14,VS,7.695315983334676,46.05703966959026,Zermatt,3760,S,1,-,2,1,2
04.08.14,VS,7.632350123124307,46.02396321389662,Zermatt,3690,S,1,-,1,,1
20.11.14,NW,8.545192846859946,46.93139929055869,Emmetten,1850,NW,1,-2,1,,1
08.12.14,VS,7.992448047024595,46.1979692288781,Simplon,3170,SE,1,2,4,,1
20.12.14,SG,9.386896673377391,46.959117413933846,Mels,2820,E,1,3,1,1,1
04.01.15,VS,7.616576130863198,46.24016078012691,Anniviers,2513,NW,2,3,1,1,1
04.01.15,GR,10.240732695986157,46.90996102943067,Valsot,2730,ESE,1,-3,2,2,1
06.01.15,GR,9.70667290527986,46.51016559496075,Bivio,3050,S,1,3,1,1,1
18.01.15,GR,9.789243302773873,46.50556215045273,St. Moritz,2950,SE,2,3,3,2,1
29.01.15,SG,9.19437594097713,47.16874317654379,Amden,1550,SE,1,-3,1,1,1
29.01.15,VS,7.2585403952837355,46.108597238444375,Riddes,2380,N,2,3,5,1,1
30.01.15,BE,7.500228737052298,46.455162198292626,Adelboden,1875,E,2,3,1,1,1
31.01.15,BE,7.51108625503647,46.447068724963934,Adelboden,1980,NW,2,3,1,1,1
31.01.15,BE,7.848782951636216,46.5564678549871,Lauterbrunnen,2380,E,2,3,1,1,1
31.01.15,GR,9.60505148777358,47.01284509452945,Seewis im Prättigau,2340,E,1,3,8,7,5
31.01.15,SG,9.30339729568788,47.15378359686156,Wildhaus-Alt St. Johann,2250,W,2,3,1,,1
