Date,Canton,Starting zone,Elevation,Aspect,Activity,Danger level,caught,buried,killed
31.01.15,SG,Wildhaus-Alt St. Johann,2250,W,2,3,1,,1
02.02.15,GR,Disentis/Mustér,1970,NE,2,3,1,1,1
08.02.15,VS,Staldenried,2320,N,1,3,1,1,1
10.02.15,GR,Val Müstair,2590,SW,1,3,1,1,1
21.02.15,VS,Bourg-Saint-Pierre,2500,N,1,2,5,4,4
03.03.15,GR,Samnaun,2550,N,2,-3,1,1,1
27.03.15,VS,Evolène,3180,SE,1,-2,6,2,1
28.03.15,VS,Bourg-Saint-Pierre,3500,W,1,2,1,,1
28.03.15,UR,Wassen,2340,NE,1,-2,2,2,1
04.04.15,GR,Davos,2260,NE,2,3,1,1,1
12.04.15,VS,Mont-Noble,2980,N,1,2,4,4,2
06.05.15,GR,Lumnezia,2630,NE,1,-,1,1,1
24.10.15,GR,Poschiavo,3782,ESE,1,-,1,,1
09.01.16,VS,Ried-Brig,2543,NW,1,-3,3,3,2
16.01.16,VS,Saxon,2250,N,2,3,4,1,2
24.01.16,BE,Aeschi bei Spiez,2400,NW,1,2,3,1,1
30.01.16,GR,Davos,2770,NE,1,3,3,1,1
21.02.16,VS,Saas-Almagell,2860,ESE,2,2,6,1,1
27.02.16,SZ,Muotathal,1680,NNW,1,-3,1,,1
05.03.16,GR,Safiental,2660,SW,1,-3,2,2,2
26.03.16,BE,Lenk,1940,NNW,1,1↗︎2,1,,1
27.03.16,VS,Obergoms,2440,NNE,1,2,1,1,1
28.03.16,GL,Glarus Süd,2150,NNW,1,2,2,1,1
03.04.16,GR,Arosa,2280,ENE,2,1↗︎3,1,1,1
17.04.16,VS,Fieschertal,3340,NNW,1,-2,6,3,1
19.04.16,VS,Orsières,3100,NNE,2,3,2,1,1
20.04.16,GR,Sils im Engadin/Segl,2810,NE,1,3,1,1,1
29.04.16,VS,Naters,3680,SW,1,-2,2,1,1
05.05.16,GR,Flims,2900,ESE,1,-2,1,1,1
04.07.16,VS,Baltschieder,3440,E,1,-,2,,1
06.01.17,VS,Leytron,2508,ENE,1,3,1,1,1
07.01.17,UR,Andermatt,2460,NW,2,3,5,1,1
21.01.17,SZ,Oberiberg,2130,N,1,2,1,1,1
04.02.17,VS,Binn,2300,S,1,-3,3,1,1
05.02.17,VS,Ried-Brig,2205,NNE,1,3,1,,1
22.02.17,VS,Leukerbad,3590,S,1,-2,1,1,1
02.03.17,GR,Obersaxen Mundaun,2273,N,2,3,2,1,1
21.09.17,BE,Grindelwald,3390,E,1,-,2,,1
