date,region,wind
2006-01-17 00:00:00,ouest,fort 
2006-01-18 00:00:00,-,fort 
2006-01-20 00:00:00,sud,modere 
2006-01-21 00:00:00,nord,fort 
2006-01-22 00:00:00,nord,fort 
2006-01-23 00:00:00,nord,fort 
2006-01-24 00:00:00,-,faible 
2006-01-25 00:00:00,-,modere 
2006-01-26 00:00:00,-,modere 
2006-01-27 00:00:00,-,fort 
2006-01-29 00:00:00,-,modere 
2006-02-04 00:00:00,-,faible 
2006-02-05 00:00:00,-,modere 
2006-02-07 00:00:00,-,modere 
2006-02-10 00:00:00,-,faible 
2006-02-11 00:00:00,-,faible 
2006-02-12 00:00:00,nord,modere 
2006-02-13 00:00:00,nord,modere 
2006-02-14 00:00:00,ouest,modere 
2006-02-15 00:00:00,sud,fort 
2006-02-16 00:00:00,ouest,fort 
2006-02-18 00:00:00,-,modere 
2006-02-21 00:00:00,sud,faible 
2006-02-22 00:00:00,sud,faible 
2006-02-23 00:00:00,-,faible 
2006-02-27 00:00:00,-,faible 
2006-03-01 00:00:00,nord,faible 
,ouest,modere 
2006-03-02 00:00:00,nord,faible 
2006-03-03 00:00:00,-,fort 
2006-03-04 00:00:00,sud,fort 
,ouest,modere 
2006-03-08 00:00:00,-,modere 
2006-03-09 00:00:00,-,fort 
2006-03-11 00:00:00,-,modere 
2006-03-12 00:00:00,nord,fort 
2006-03-13 00:00:00,-,faible 
2006-03-14 00:00:00,nord,modere 
2006-03-16 00:00:00,-,faible 
2006-03-17 00:00:00,-,faible 
2006-03-18 00:00:00,-,faible 
2006-03-19 00:00:00,-,modere 
2006-03-20 00:00:00,-,modere 
2006-03-21 00:00:00,sud,modere 
2006-03-22 00:00:00,-,faible 
2006-03-23 00:00:00,-,faible 
2006-03-24 00:00:00,-,modere 
2006-03-25 00:00:00,-,modere 
2006-03-26 00:00:00,ouest,fort 
2006-03-27 00:00:00,ouest,fort 
2006-03-28 00:00:00,-,modere 
2006-03-29 00:00:00,-,fort 
2006-03-30 00:00:00,-,fort 
2006-03-31 00:00:00,nord,fort 
2006-04-02 00:00:00,ouest,modere 
,sud,faible 
2006-04-03 00:00:00,-,modere 
2006-04-04 00:00:00,-,modere 
2006-04-05 00:00:00,-,fort 
2006-04-06 00:00:00,nord,modere 
2006-04-07 00:00:00,ouest,modere 
2006-04-08 00:00:00,sud,modere 
2006-04-09 00:00:00,-,modere 
2006-04-10 00:00:00,sud,fort 
2006-04-11 00:00:00,nord,fort 
2006-04-12 00:00:00,ouest,faible 
,nord,modere 
2006-04-13 00:00:00,ouest,faible 
,nord,modere 
2006-04-14 00:00:00,-,modere 
2006-04-15 00:00:00,sud,modere 
2006-04-16 00:00:00,ouest,modere 
2006-04-17 00:00:00,-,faible 
2006-04-18 00:00:00,-,faible 
2006-04-19 00:00:00,-,faible 
2006-04-20 00:00:00,-,faible 
2006-04-21 00:00:00,-,faible 
2006-04-22 00:00:00,-,faible 
